student_id,course_code,attendance_pct
S2023CS001,CS301,75.0
S2023CS001,CS302,75.0
S2023CS001,CS303,75.0
S2023CS001,CS304,75.0
S2023CS001,CS305,75.0
S2023CS001,CS306,75.0
S2023CS001,CS307,75.0
S2023CS001,CS308,75.0
S2023CS002,CS301,75.0
S2023CS002,CS302,75.0
S2023CS002,CS303,75.0
S2023CS002,CS304,75.0
S2023CS002,CS305,75.0
S2023CS002,CS306,75.0
S2023CS002,CS307,75.0
S2023CS002,CS308,75.0
S2023CS003,CS301,88.0
S2023CS003,CS302,88.0
S2023CS003,CS303,88.0
S2023CS003,CS304,88.0
S2023CS003,CS305,88.0
S2023CS003,CS306,88.0
S2023CS003,CS307,88.0
S2023CS003,CS308,88.0
S2023CS004,CS301,74.9
S2023CS004,CS302,74.9
S2023CS004,CS303,74.9
S2023CS004,CS304,74.9
S2023CS004,CS305,74.9
S2023CS004,CS306,74.9
S2023CS004,CS307,74.9
S2023CS004,CS308,74.9
S2023CS005,CS301,90.0
S2023CS005,CS302,90.0
S2023CS005,CS303,90.0
S2023CS005,CS304,90.0
S2023CS005,CS305,90.0
S2023CS005,CS306,90.0
S2023CS005,CS307,90.0
S2023CS005,CS308,90.0
S2023CS006,CS301,92.0
S2023CS006,CS302,92.0
S2023CS006,CS303,92.0
S2023CS006,CS304,92.0
S2023CS006,CS305,92.0
S2023CS006,CS306,92.0
S2023CS006,CS307,92.0
S2023CS006,CS308,92.0
S2023CS007,CS301,82.0
S2023CS007,CS302,64.9
S2023CS007,CS303,82.0
S2023CS007,CS304,82.0
S2023CS007,CS305,82.0
S2023CS007,CS306,82.0
S2023CS007,CS307,82.0
S2023CS007,CS308,82.0
S2023CS008,CS301,74.4
S2023CS008,CS302,75.5
S2023CS008,CS303,76.9
S2023CS008,CS304,77.5
S2023CS008,CS305,75.9
S2023CS008,CS306,75.2
S2023CS008,CS307,72.9
S2023CS008,CS308,78.4
S2023CS009,CS301,78.2
S2023CS009,CS302,84.6
S2023CS009,CS303,84.7
S2023CS009,CS304,89.9
S2023CS009,CS305,83.3
S2023CS009,CS306,78.9
S2023CS009,CS307,73.1
S2023CS009,CS308,79.6
S2023CS010,CS301,92.3
S2023CS010,CS302,92.4
S2023CS010,CS303,86.0
S2023CS010,CS304,89.4
S2023CS010,CS305,91.9
S2023CS010,CS306,83.1
S2023CS010,CS307,89.5
S2023CS010,CS308,91.4
S2023CS011,CS301,77.2
S2023CS011,CS302,77.3
S2023CS011,CS303,77.0
S2023CS011,CS304,77.3
S2023CS011,CS305,72.2
S2023CS011,CS306,78.9
S2023CS011,CS307,77.4
S2023CS011,CS308,73.5
S2023CS012,CS301,89.1
S2023CS012,CS302,83.9
S2023CS012,CS303,83.3
S2023CS012,CS304,79.7
S2023CS012,CS305,78.4
S2023CS012,CS306,87.5
S2023CS012,CS307,85.0
S2023CS012,CS308,77.5
S2023CS013,CS301,93.1
S2023CS013,CS302,97.9
S2023CS013,CS303,92.9
S2023CS013,CS304,92.6
S2023CS013,CS305,95.5
S2023CS013,CS306,100.0
S2023CS013,CS307,93.8
S2023CS013,CS308,89.5
S2023CS014,CS301,89.4
S2023CS014,CS302,81.6
S2023CS014,CS303,79.0
S2023CS014,CS304,82.5
S2023CS014,CS305,81.6
S2023CS014,CS306,84.5
S2023CS014,CS307,82.1
S2023CS014,CS308,82.6
S2023CS015,CS301,99.7
S2023CS015,CS302,92.3
S2023CS015,CS303,93.0
S2023CS015,CS304,99.1
S2023CS015,CS305,96.1
S2023CS015,CS306,96.1
S2023CS015,CS307,100.0
S2023CS015,CS308,99.7
S2023CS016,CS301,70.6
S2023CS016,CS302,76.9
S2023CS016,CS303,77.7
S2023CS016,CS304,77.0
S2023CS016,CS305,68.7
S2023CS016,CS306,75.4
S2023CS016,CS307,81.9
S2023CS016,CS308,80.0
S2023CS017,CS301,71.9
S2023CS017,CS302,71.7
S2023CS017,CS303,72.3
S2023CS017,CS304,73.0
S2023CS017,CS305,63.2
S2023CS017,CS306,69.4
S2023CS017,CS307,67.0
S2023CS017,CS308,66.2
S2023CS018,CS301,86.3
S2023CS018,CS302,79.8
S2023CS018,CS303,74.6
S2023CS018,CS304,76.0
S2023CS018,CS305,77.2
S2023CS018,CS306,78.8
S2023CS018,CS307,80.3
S2023CS018,CS308,78.1
S2023CS019,CS301,67.2
S2023CS019,CS302,73.8
S2023CS019,CS303,71.4
S2023CS019,CS304,78.2
S2023CS019,CS305,67.9
S2023CS019,CS306,77.7
S2023CS019,CS307,73.5
S2023CS019,CS308,73.2
S2023CS020,CS301,93.6
S2023CS020,CS302,87.6
S2023CS020,CS303,86.0
S2023CS020,CS304,87.0
S2023CS020,CS305,82.5
S2023CS020,CS306,88.6
S2023CS020,CS307,87.9
S2023CS020,CS308,91.3
S2023CS021,CS301,82.7
S2023CS021,CS302,94.4
S2023CS021,CS303,97.8
S2023CS021,CS304,93.5
S2023CS021,CS305,93.5
S2023CS021,CS306,99.8
S2023CS021,CS307,93.2
S2023CS021,CS308,100.0
S2023CS022,CS301,73.4
S2023CS022,CS302,77.2
S2023CS022,CS303,77.2
S2023CS022,CS304,73.0
S2023CS022,CS305,76.4
S2023CS022,CS306,79.5
S2023CS022,CS307,76.3
S2023CS022,CS308,76.2
S2023CS023,CS301,80.8
S2023CS023,CS302,66.2
S2023CS023,CS303,81.2
S2023CS023,CS304,76.5
S2023CS023,CS305,80.5
