student_id,skill_id,proficiency
S2023CS001,sk_dsa,3
S2023CS001,sk_java,3
S2023CS001,sk_python,2
S2023CS001,sk_sql,2
S2023CS002,sk_dsa,3
S2023CS002,sk_java,3
S2023CS002,sk_python,2
S2023CS002,sk_sql,2
S2023CS003,sk_dsa,4
S2023CS003,sk_python,3
S2023CS003,sk_sql,3
S2023CS004,sk_dsa,3
S2023CS004,sk_java,4
S2023CS004,sk_sql,3
S2023CS005,sk_dsa,4
S2023CS005,sk_java,4
S2023CS005,sk_sql,4
S2023CS006,sk_dsa,2
S2023CS006,sk_java,4
S2023CS006,sk_sql,3
S2023CS007,sk_c,3
S2023CS007,sk_oop,2
S2023CS007,sk_python,2
S2023CS008,sk_c,3
S2023CS008,sk_communication,3
S2023CS008,sk_cpp,5
S2023CS008,sk_dsa,2
S2023CS008,sk_nodejs,3
S2023CS008,sk_oop,3
S2023CS008,sk_python,5
S2023CS008,sk_react,3
S2023CS008,sk_spring,2
S2023CS008,sk_sql,5
S2023CS009,sk_aptitude,2
S2023CS009,sk_aws,2
S2023CS009,sk_c,3
S2023CS009,sk_communication,2
S2023CS009,sk_dbms,2
S2023CS009,sk_django,4
S2023CS009,sk_dsa,3
S2023CS009,sk_git,3
S2023CS009,sk_java,3
S2023CS010,sk_aws,1
S2023CS010,sk_c,3
S2023CS010,sk_django,1
S2023CS010,sk_dsa,3
S2023CS010,sk_java,4
S2023CS010,sk_nodejs,3
S2023CS010,sk_oop,2
S2023CS010,sk_python,4
S2023CS010,sk_sql,4
S2023CS011,sk_c,4
S2023CS011,sk_dl,3
S2023CS011,sk_dsa,4
S2023CS011,sk_java,5
S2023CS011,sk_oop,2
S2023CS011,sk_python,5
S2023CS011,sk_sql,4
S2023CS011,sk_system_design,1
S2023CS012,sk_aptitude,4
S2023CS012,sk_django,2
S2023CS012,sk_dsa,4
S2023CS012,sk_excel,2
S2023CS012,sk_java,4
S2023CS012,sk_linux,3
S2023CS012,sk_oop,3
S2023CS012,sk_sql,3
S2023CS013,sk_c,1
S2023CS013,sk_cn,2
S2023CS013,sk_cpp,5
S2023CS013,sk_docker,4
S2023CS013,sk_dsa,2
S2023CS013,sk_java,3
S2023CS013,sk_javascript,1
S2023CS013,sk_linux,3
S2023CS013,sk_nodejs,3
S2023CS013,sk_oop,3
S2023CS013,sk_sql,4
S2023CS014,sk_aptitude,4
S2023CS014,sk_c,5
S2023CS014,sk_communication,2
S2023CS014,sk_dsa,4
S2023CS014,sk_html_css,4
S2023CS014,sk_java,2
S2023CS014,sk_oop,3
S2023CS014,sk_python,2
S2023CS014,sk_sql,3
S2023CS015,sk_aptitude,2
S2023CS015,sk_c,2
S2023CS015,sk_cpp,5
S2023CS015,sk_dbms,3
S2023CS015,sk_dl,3
S2023CS015,sk_dsa,4
S2023CS015,sk_html_css,4
S2023CS015,sk_java,3
S2023CS015,sk_oop,4
S2023CS015,sk_python,4
S2023CS015,sk_sql,3
S2023CS016,sk_c,3
S2023CS016,sk_dsa,3
S2023CS016,sk_html_css,4
S2023CS016,sk_java,3
S2023CS016,sk_python,4
S2023CS016,sk_sql,1
S2023CS016,sk_statistics,3
S2023CS016,sk_testing,4
S2023CS017,sk_c,2
S2023CS017,sk_django,4
S2023CS017,sk_dsa,2
S2023CS017,sk_nodejs,2
S2023CS017,sk_oop,2
S2023CS017,sk_os,3
S2023CS017,sk_python,3
S2023CS017,sk_sql,3
S2023CS017,sk_system_design,3
S2023CS017,sk_tableau,3
S2023CS017,sk_testing,2
S2023CS018,sk_c,3
S2023CS018,sk_cn,2
S2023CS018,sk_docker,5
S2023CS018,sk_dsa,2
S2023CS018,sk_java,2
S2023CS018,sk_oop,1
S2023CS018,sk_python,3
S2023CS018,sk_sql,4
S2023CS019,sk_c,4
S2023CS019,sk_communication,2
S2023CS019,sk_dbms,2
S2023CS019,sk_dl,2
S2023CS019,sk_excel,4
S2023CS019,sk_oop,3
S2023CS019,sk_power_bi,2
S2023CS019,sk_python,4
S2023CS019,sk_react,4
S2023CS019,sk_sql,4
S2023CS020,sk_aptitude,3
S2023CS020,sk_c,3
S2023CS020,sk_cpp,1
S2023CS020,sk_docker,2
S2023CS020,sk_dsa,2
S2023CS020,sk_java,2
S2023CS020,sk_oop,4
S2023CS020,sk_power_bi,2
S2023CS020,sk_python,3
S2023CS020,sk_react,1
S2023CS020,sk_sql,5
S2023CS021,sk_cn,3
S2023CS021,sk_dl,4
S2023CS021,sk_java,3
S2023CS021,sk_javascript,2
S2023CS021,sk_python,5
S2023CS021,sk_sql,4
S2023CS021,sk_statistics,4
S2023CS021,sk_system_design,3
S2023CS021,sk_testing,3
S2023CS022,sk_aws,3
S2023CS022,sk_c,4
S2023CS022,sk_cpp,2
S2023CS022,sk_django,2
S2023CS022,sk_dsa,1
S2023CS022,sk_java,3
S2023CS022,sk_oop,2
S2023CS022,sk_python,3
S2023CS022,sk_sql,3
S2023CS023,sk_c,3
S2023CS023,sk_dbms,2
S2023CS023,sk_dsa,4
S2023CS023,sk_java,2
S2023CS023,sk_oop,4
S2023CS023,sk_python,5
S2023CS023,sk_sql,3
S2023CS023,sk_system_design,3
S2023CS024,sk_c,2
S2023CS024,sk_dsa,3
S2023CS024,sk_oop,3
S2023CS024,sk_python,5
S2023CS024,sk_spring,2
S2023CS024,sk_sql,1
S2023CS024,sk_testing,4
S2023CS025,sk_c,5
S2023CS025,sk_cn,3
S2023CS025,sk_docker,3
S2023CS025,sk_dsa,5
S2023CS025,sk_java,3
S2023CS025,sk_oop,2
S2023CS025,sk_python,4
S2023CS025,sk_react,3
S2023CS025,sk_tableau,2
S2023CS026,sk_c,2
S2023CS026,sk_django,4
S2023CS026,sk_dsa,1
S2023CS026,sk_html_css,2
S2023CS026,sk_java,3
S2023CS026,sk_oop,5
S2023CS026,sk_python,3
S2023CS026,sk_sql,3
S2023CS027,sk_c,3
S2023CS027,sk_cn,2
S2023CS027,sk_docker,3
S2023CS027,sk_dsa,5
S2023CS027,sk_html_css,3
S2023CS027,sk_java,2
S2023CS027,sk_ml,2
S2023CS027,sk_react,3
S2023CS027,sk_sql,3
S2023CS028,sk_aptitude,2
S2023CS028,sk_c,3
S2023CS028,sk_dbms,1
S2023CS028,sk_excel,4
S2023CS028,sk_java,4
S2023CS028,sk_oop,2
S2023CS028,sk_python,4
S2023CS028,sk_sql,3
S2023CS028,sk_statistics,4
S2023CS028,sk_testing,4
S2023CS029,sk_c,2
S2023CS029,sk_cn,4
S2023CS029,sk_dbms,4
S2023CS029,sk_dsa,4
S2023CS029,sk_java,4
S2023CS029,sk_oop,3
S2023CS029,sk_python,3
S2023CS029,sk_sql,4
S2023CS029,sk_system_design,5
S2023CS029,sk_tableau,2
S2023CS030,sk_aptitude,2
S2023CS030,sk_c,3
S2023CS030,sk_cpp,2
S2023CS030,sk_dsa,2
S2023CS030,sk_html_css,2
S2023CS030,sk_java,4
S2023CS030,sk_javascript,1
S2023CS030,sk_ml,4
